0109 0909 0909 0909 0901 0109 0901 0909
0909 0909 0909 0909 0909 0909 0909 0909
0906 0b10 0f11 0e06 0909 1110 090b 0611
0f09 0e0e 0f0e 0e0e 0e0e 0609 0b0b 0b0e
160f 0e0e 0f0b 0b0f 0f06 0b0e 0b16 0f0f
0e0f 0f0e 0b0f 0f16 0f0f 0b09 1109 0a0b
090f 0e0e 0f0b 0b0f 0f06 0b0e 0b16 0f0f
0e0f 0f0e 0b0f 0f16 0f0f 0b0b 060b 0e09
0909 0909 0909 0909 0909 0909 0909 0909
0909 0909 0909 0909 0909 0909 0909 0909
0906 100e 1011 060e 0b16 0b13 0b0b 160b
0a10 0b0b 090f 1106 0909 0a13 2222 240e
0e0e 0f0e 0f0f 130e 0b0b 0b0b 0606 0708
110e 0e0e 0f0e 0f10 100e 0e0f 0f0e 0f0e
0e0e 0f0e 0f0f 130e 0b0b 0b0b 0606 0708
110e 0e0e 0f0e 0f10 100e 0e0f 0f0e 0f0f
