000e 0e0e 0e0e 0e0e 0e00 000e 0e00 0e0e
0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e
0e09 121b 1b1c 1709 0e0e 1c1b 0e12 091c
180e 1717 1817 1719 1717 090e 1412 1417
2518 1717 1812 1218 1809 1217 1225 1818
1718 1817 1218 1825 1818 140e 1c0e 1312
0e18 1717 1812 1218 1809 1217 1225 1818
1718 1817 1218 1825 1818 1414 0914 170e
0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e
0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e 0e0e
0e09 1b17 1b1c 0917 1225 1220 1212 2512
131b 1212 0e18 1c09 0e0e 1320 3b3a 3f17
1717 1817 1818 2017 1212 1212 0909 0a0b
1c17 1717 1817 181b 1b17 1718 1817 1817
1717 1817 1818 2017 1212 1212 0909 0a0b
1c17 1717 1817 181b 1b17 1718 1817 1818
