000c 0c0c 0c0c 0c0c 0c00 000c 0c00 0c0c
0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c
0803 0609 0909 0b03 0606 0609 0509 0506
0906 0909 0909 0909 0909 0305 0809 0808
0c09 0909 0909 0909 0906 0909 0909 0909
0909 0909 0909 0909 0909 0905 0605 0908
0509 0909 0909 0909 0906 0808 0609 0909
0909 0909 0909 0909 0909 0906 0306 090c
0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c
0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c 0c0c
0809 0909 0909 0309 090b 0909 0906 0909
0809 0909 0909 0903 0909 0909 0909 0909
0b09 0909 0909 0909 0909 0909 0909 0909
0909 0909 0909 0909 0909 0909 0909 0909
0909 0909 0909 0909 0909 0909 0909 0909
0909 0909 0909 0909 0909 0909 0909 0909
